RunID,FamilyID,ExperimentsExpected,ExperimentsExecuted,PairsExpected,PairsComplete,HardRulesFailed,StatisticalRulesInconclusive,BlockedCount,Status,ExecutionBackend,ApproximationMode,TruthQualified
mimo_impact_20260726T182409Z,F45,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F46,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F47,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F48,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F49,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F50,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F51,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F52,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F53,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F54,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F55,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F56,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F57,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F58,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F59,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F60,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F61,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F62,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F63,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
mimo_impact_20260726T182409Z,F64,12,12,6,6,0,0,0,PASS,production_sample_domain_mimo_components,component_campaign_not_nr_waveform_truth,false
